p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
3.200890907532114e-286,0.2986770011013484,0.991,0.984,9.715984260722978e-282,1,RPL7A
3.868497086689709e-283,0.2854303265599012,0.998,0.993,1.1742436056937943e-278,1,RPL30
2.724918320150206e-274,0.2800947779502242,0.311,0.159,8.271217068983934e-270,1,TECR
9.807458895923584e-270,0.2605685901768453,1,0.999,2.976956073268645e-265,1,RPL10
1.556196049916657e-269,0.30536528892309944,0.636,0.417,4.7236774899170207e-265,1,CD3D
1.8124933894482102e-266,0.3617012901209926,0.76,0.599,5.501642434331097e-262,1,MYL12A
7.179980552254154e-259,0.26996990385307607,0.998,0.996,2.179411296831226e-254,1,RPS4X
5.274155410400687e-245,0.3017502246322563,0.353,0.199,1.6009171332730247e-240,1,NABP1
1.696112348025956e-242,0.25281384693783004,0.453,0.272,5.1483794211979866e-238,1,CD3G
9.998245924802616e-226,0.8009127386179955,0.748,0.666,3.034867568014586e-221,1,JUN
6.412430842255697e-206,0.2638484412626627,0.81,0.64,1.9464292578582942e-201,1,TXNIP
7.463718979989134e-205,0.34838166988302355,0.732,0.577,2.2655372591859017e-200,1,CD52
2.2405642063755174e-190,0.2992492942180853,0.792,0.688,6.801008592032246e-186,1,HNRNPA2B1
8.544338877992481e-185,0.4299442783224654,0.457,0.306,2.5935486230258378e-180,1,LTB
2.9911685155881745e-180,0.2695210623539288,0.624,0.467,9.079392912216345e-176,1,CD48
7.932568284982922e-180,0.2627781828317497,0.828,0.737,2.407851777223716e-175,1,TOMM7
1.3412939410592759e-174,0.307666774233721,0.533,0.383,4.071363628691326e-170,1,SOD1
6.370176907078833e-171,0.25077856555202116,0.944,0.896,1.933603498374709e-166,1,HLA-C
9.9071431756959e-169,0.25667440220617993,0.337,0.207,3.0072142395507334e-164,1,DOK2
3.3514397262665303e-161,0.30516653483558676,0.784,0.657,1.0172960145109426e-156,1,S100A4
1.3139214302622802e-155,0.2768925550805643,0.706,0.566,3.988277109418125e-151,1,HCST
1.9627213791551762e-154,0.2539669342782629,0.533,0.378,5.957644474287622e-150,1,TRBC2
5.76342052335122e-125,0.30902136568302896,0.442,0.315,1.7494286656580296e-120,1,TRBC1
3.8906785980918045e-109,0.25210899824133215,0.396,0.28,1.1809765816647863e-104,1,RGS2
2.992554368707271e-107,0.25238241514855353,0.313,0.211,9.083599530774051e-103,1,NEU1
9.67603988113604e-81,0.28038627151789064,0.496,0.39,2.9370651455200337e-76,1,KLRB1
1.4364642259581079e-19,0.29674967936539476,0.499,0.453,4.3602435114732405e-15,1,CD69
1.8482481347934686e-4,0.26874326494629486,0.713,0.712,1,1,FOS
0,3.693333967633943,0.995,0.449,0,2,CCL4
