p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,0.3918150171096879,0.677,0.464,0,0,ARHGDIB
0,0.38927737742426327,0.823,0.676,0,0,CALM1
0,0.38477084172068643,0.587,0.373,0,0,LCP1
0,0.3784806632849173,0.434,0.219,0,0,AKNA
0,0.3754959566728318,0.372,0.174,0,0,IFITM1
0,0.3741394090096154,0.496,0.307,0,0,LITAF
0,0.3709735444165718,0.282,0.08,0,0,SLA2
0,0.36095661694884085,0.366,0.179,0,0,VPS37B
0,0.3584760986532439,0.474,0.265,0,0,SLA
0,0.3502950011126357,0.442,0.254,0,0,LSP1
0,0.34828500684460906,0.827,0.583,0,0,CXCR4
0,0.3482139299630776,0.401,0.223,0,0,ALOX5AP
0,0.3363547485185159,0.477,0.281,0,0,EVL
0,0.3339967299757142,0.356,0.164,0,0,ARHGAP9
0,0.33026912662432784,0.383,0.202,0,0,CDC42SE1
0,0.3290281829870974,0.418,0.224,0,0,CD96
0,0.32826432411405254,0.275,0.117,0,0,PLAC8
0,0.3228446200526828,0.441,0.238,0,0,IL2RG
0,0.31963374358757574,0.359,0.175,0,0,PTPN22
0,0.31435320640264364,0.286,0.106,0,0,CHST12
0,0.3090450520917995,0.347,0.179,0,0,ABHD17A
0,0.3064480530440263,0.417,0.238,0,0,SLC38A1
0,0.30089899169052536,0.31,0.139,0,0,GPR65
0,0.29120964129775806,0.29,0.13,0,0,PRKX
0,0.28185240749983115,0.334,0.166,0,0,RNF125
0,0.2785851311008911,0.283,0.114,0,0,APMAP
0,0.2733439510619361,0.304,0.137,0,0,BIN2
0,0.2593453409180999,0.258,0.115,0,0,MAPK1
1.2100309019454578e-307,0.32238643667164535,0.464,0.285,3.6729277997652424e-303,0,RAC2
3.3972939902938383e-305,0.27225105315420367,0.361,0.197,1.0312146178137917e-300,0,TNFRSF1B
6.106133142655648e-303,0.26144256871356064,0.34,0.18,1.8534556541216953e-298,0,STAT4
1.6839455414919929e-301,0.45992759442753783,0.624,0.441,5.111448296644795e-297,0,CREM
1.2625135820786448e-297,0.3744669900767479,0.498,0.317,3.8322337270415185e-293,0,ISG20
5.152352234480201e-297,0.557076002533579,0.57,0.408,1.5639449972541203e-292,0,REL
1.0110695536293994e-296,0.26214410394090903,0.356,0.196,3.069000523086679e-292,0,PAXX
5.9029494502775e-286,0.27853985086523114,0.313,0.164,1.791781276137232e-281,0,DOK2
3.81911025315151e-285,0.36736518507951077,0.548,0.367,1.1592527262416094e-280,0,DDIT4
1.0627467795627918e-278,0.3420903238603103,0.424,0.262,3.2258615746848984e-274,0,FOSL2
